Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2024,Acura,Integra A-SPEC,Full-size,1.5,4,AV7,Z,8.1,6.5,7.4,38,172,6,7
2024,Acura,Integra Type S,Full-size,2.0,4,M6,Z,11.1,8.3,9.9,29,230,5,6
2024,Acura,MDX SH-AWD,Sport utility vehicle: Small,3.5,6,AS10,Z,12.6,9.4,11.2,25,263,4,5
2024,Acura,MDX SH-AWD Type S,Sport utility vehicle: Standard,3.0,6,AS10,Z,13.8,11.2,12.4,23,291,4,5
2024,Acura,RDX SH-AWD,Sport utility vehicle: Small,2.0,4,AS10,Z,11.0,8.6,9.9,29,232,5,6
2024,Acura,RDX SH-AWD A-SPEC,Sport utility vehicle: Small,2.0,4,AS10,Z,11.3,9.1,10.3,27,241,5,6
2024,Alfa Romeo,Giulia,Mid-size,2.0,4,A8,Z,10.0,7.2,8.7,32,205,5,5
2024,Alfa Romeo,Giulia AWD,Mid-size,2.0,4,A8,Z,10.5,7.7,9.2,31,217,5,5
2024,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,13.5,9.3,11.6,24,271,4,3
2024,Alfa Romeo,Stelvio,Sport utility vehicle: Small,2.0,4,A8,Z,10.3,8.1,9.3,30,218,5,5
2024,Alfa Romeo,Stelvio AWD,Sport utility vehicle: Small,2.0,4,A8,Z,10.8,8.3,9.6,29,226,5,5
2024,Alfa Romeo,Stelvio AWD Quadrifoglio,Sport utility vehicle: Small,2.9,6,A8,Z,13.9,10.3,12.3,23,288,4,3
2024,Alfa Romeo,Tonale AWD,Sport utility vehicle: Small,2.0,4,A9,X,11.2,8.2,9.8,29,231,5,7
2024,Aston Martin,DB12,Minicompact,4.0,8,A8,Z,15.9,10.5,13.5,21,316,3,5
2024,Aston Martin,DBS V12,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,20,324,3,3
2024,Aston Martin,DBX V8,Sport utility vehicle: Standard,4.0,8,A9,Z,16.8,11.9,14.6,19,343,3,5
2024,Aston Martin,DBX707,Sport utility vehicle: Standard,4.0,8,A9,Z,15.7,12.0,14.0,20,329,3,5
2024,Aston Martin,Valour,Two-seater,5.2,12,M6,Z,18.9,13.1,16.3,17,383,2,3
2024,Audi,A3 40 TFSI quattro,Subcompact,2.0,4,AM7,X,9.2,6.9,8.1,35,191,6,7
2024,Audi,A4 45 TFSI quattro,Compact,2.0,4,AM7,Z,10.0,7.4,8.8,32,208,5,5
2024,Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,2.0,4,AM7,Z,10.3,7.8,9.2,31,215,5,5
2024,Audi,A5 Cabriolet 45 TFSI quattro,Subcompact,2.0,4,AM7,Z,9.8,7.1,8.6,33,202,5,5
2024,Audi,A5 Coup? 45 TFSI quattro,Subcompact,2.0,4,AM7,Z,10.0,7.4,8.8,32,208,5,5
2024,Audi,A5 Sportback 45 TFSI quattro,Mid-size,2.0,4,AM7,Z,10.0,7.4,8.8,32,208,5,5
2024,Audi,A6 45 TFSI quattro,Mid-size,2.0,4,AM7,Z,10.4,7.2,9.0,31,210,5,5
2024,Audi,A6 55 TFSI quattro,Mid-size,3.0,6,AM7,Z,10.9,8.0,9.6,29,225,5,5
2024,Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,3.0,6,AM7,Z,10.9,8.0,9.6,29,225,5,5
2024,Audi,A7 Sportback 55 TFSI quattro,Mid-size,3.0,6,AM7,Z,10.9,8.0,9.6,29,225,5,5
2024,Audi,A8 L 55 TFSI quattro,Full-size,3.0,6,AS8,Z,12.4,8.4,10.6,27,249,5,5
2024,Audi,Q3 40 TFSI quattro,Sport utility vehicle: Small,2.0,4,AS8,X,10.7,8.1,9.5,30,224,5,6
2024,Audi,Q3 45 TFSI quattro,Sport utility vehicle: Small,2.0,4,AS8,X,11.5,8.5,10.2,28,239,5,7
2024,Audi,Q5 40 TFSI quattro,Sport utility vehicle: Small,2.0,4,AM7,Z,10.1,8.0,9.2,31,215,5,5
2024,Audi,Q5 45 TFSI quattro,Sport utility vehicle: Small,2.0,4,AM7,Z,11.0,8.5,9.9,29,230,5,5
2024,Audi,Q5 Sportback 45 TFSI quattro,Sport utility vehicle: Small,2.0,4,AM7,Z,11.0,8.5,9.9,29,230,5,5
2024,Audi,Q7 45 TFSI quattro,Sport utility vehicle: Standard,2.0,4,AS8,Z,12.3,9.4,11.0,26,258,4,5
2024,Audi,Q7 55 TFSI quattro,Sport utility vehicle: Standard,3.0,6,AS8,Z,12.7,9.8,11.4,25,268,4,5
2024,Audi,Q8 55 TFSI quattro,Sport utility vehicle: Standard,3.0,6,AS8,Z,13.6,10.4,12.1,23,285,4,5
2024,Audi,RS 5 Coup?,Subcompact,2.9,6,AS8,Z,12.9,9.3,11.3,25,264,4,5
2024,Audi,RS 5 Sportback,Mid-size,2.9,6,AS8,Z,13.3,9.6,11.6,24,272,4,5
2024,Audi,RS 6 Avant performance,Station wagon: Mid-size,4.0,8,AS8,Z,16.9,11.0,14.2,20,335,3,3
2024,Audi,RS 7 Sportback performance,Mid-size,4.0,8,AS8,Z,16.9,11.0,14.2,20,335,3,3
2024,Audi,RS Q8,Sport utility vehicle: Standard,4.0,8,AS8,Z,17.7,12.4,15.3,18,357,2,3
2024,Audi,S3 quattro,Subcompact,2.0,4,AM7,Z,10.2,7.4,8.9,32,208,5,5
2024,Audi,S4 quattro,Compact,3.0,6,AS8,Z,11.1,8.1,9.7,29,228,5,5
2024,Audi,S5 Cabriolet quattro,Subcompact,3.0,6,AS8,Z,11.9,8.8,10.5,27,247,5,5
2024,Audi,S5 Coup? quattro,Subcompact,3.0,6,AS8,Z,11.1,8.1,9.7,29,228,5,5
2024,Audi,S5 Sportback quattro,Mid-size,3.0,6,AS8,Z,11.8,8.2,10.2,28,238,5,5
2024,Audi,S6 quattro,Mid-size,2.9,6,AS8,Z,12.3,8.8,10.7,26,252,5,5
2024,Audi,S7 quattro,Mid-size,2.9,6,AS8,Z,12.3,8.8,10.7,26,252,5,5
2024,Audi,S8 quattro,Full-size,4.0,8,AS8,Z,16.0,10.0,13.3,21,312,4,3
2024,Audi,SQ5 quattro,Sport utility vehicle: Small,3.0,6,AS8,Z,12.6,9.8,11.4,25,266,4,5
2024,Audi,SQ5 Sportback quattro,Sport utility vehicle: Small,3.0,6,AS8,Z,12.6,9.8,11.4,25,266,4,5
2024,Audi,SQ7 quattro,Sport utility vehicle: Standard,4.0,8,AS8,Z,16.0,11.5,13.9,20,326,3,3
2024,Audi,SQ8 quattro,Sport utility vehicle: Standard,4.0,8,AS8,Z,15.6,11.5,13.8,20,322,3,3
2024,Bentley,Bentayga,Sport utility vehicle: Standard,4.0,8,AS8,Z,17.1,11.4,14.6,19,343,3,3
2024,Bentley,Bentayga EWB,Sport utility vehicle: Standard,4.0,8,AS8,Z,17.1,11.4,14.6,19,343,3,3
2024,Bentley,Continental GT,Subcompact,4.0,8,AM8,Z,16.4,10.5,13.7,21,322,3,3
2024,Bentley,Continental GT,Subcompact,6.0,12,AM8,Z,19.2,11.4,15.7,18,367,2,3
2024,Bentley,Continental GT Convertible,Minicompact,4.0,8,AM8,Z,16.7,11.4,14.3,20,337,3,3
2024,Bentley,Continental GT Convertible,Minicompact,6.0,12,AM8,Z,19.8,12.7,16.6,17,388,2,3
2024,Bentley,Flying Spur,Mid-size,4.0,8,AM8,Z,16.1,11.9,14.2,20,333,3,3
2024,Bentley,Flying Spur,Mid-size,6.0,12,AM8,Z,19.3,12.4,16.2,17,378,2,3
2024,BMW,230i xDrive Coupe,Subcompact,2.0,4,AS8,Z,9.6,7.1,8.4,34,195,6,3
2024,BMW,330i xDrive Sedan,Compact,2.0,4,AS8,Z,9.8,7.0,8.6,33,200,6,7
2024,BMW,430i xDrive Cabriolet,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,32,203,5,7
2024,BMW,430i xDrive Coupe,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,32,203,5,7
2024,BMW,530i xDrive Sedan,Mid-size,2.0,4,AS8,Z,8.7,6.8,7.9,36,182,6,7
2024,BMW,760i xDrive Sedan,Full-size,4.4,8,AS8,Z,13.3,9.3,11.5,25,265,4,5
2024,BMW,ALPINA B8 Gran Coupe,Mid-size,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
2024,BMW,ALPINA XB7,Sport utility vehicle: Standard,4.4,8,AS8,Z,15.2,11.6,13.6,21,314,4,5
2024,BMW,M2 Coupe,Subcompact,3.0,6,AS8,Z,14.6,10.3,12.7,22,294,4,5
2024,BMW,M2 Coupe,Subcompact,3.0,6,M6,Z,14.3,10.0,12.4,23,287,4,5
2024,BMW,M240i xDrive Coupe,Subcompact,3.0,6,AS8,Z,10.4,7.4,9.0,31,210,5,5
2024,BMW,M3 Sedan,Compact,3.0,6,M6,Z,14.7,10.1,12.6,22,293,4,5
2024,BMW,M3 Competition M xDrive Sedan,Compact,3.0,6,AS8,Z,14.6,10.5,12.7,22,296,4,5
2024,BMW,M3 CS Sedan,Compact,3.0,6,AS8,Z,15.3,10.6,13.2,21,305,4,5
2024,BMW,M340i xDrive Sedan,Compact,3.0,6,AS8,Z,10.4,7.5,9.1,31,212,5,5
2024,BMW,M4 Competition M xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,15.1,10.4,12.9,22,301,4,5
2024,BMW,M4 Competition M xDrive Coupe,Subcompact,3.0,6,AS8,Z,14.6,10.5,12.7,22,296,4,5
2024,BMW,M4 Coupe,Subcompact,3.0,6,M6,Z,14.7,10.1,12.6,22,293,4,5
2024,BMW,M440i xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,10.4,7.5,9.1,31,211,5,5
2024,BMW,M440i xDrive Coupe,Subcompact,3.0,6,AS8,Z,10.7,7.5,9.3,30,216,5,5
2024,BMW,M8 Competition Cabriolet,Subcompact,4.4,8,AS8,Z,16.0,10.9,13.7,21,321,3,3
2024,BMW,M8 Competition Coupe,Subcompact,4.4,8,AS8,Z,16.0,10.9,13.7,21,321,3,3
2024,BMW,M8 Competition Gran Coupe,Mid-size,4.4,8,AS8,Z,16.0,10.9,13.7,21,321,3,3
2024,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
2024,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
2024,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
2024,BMW,X1 xDrive28i,Sport utility vehicle: Small,2.0,4,AM7,Z,9.6,7.0,8.4,34,195,6,8
2024,BMW,X1 M35i xDrive,Sport utility vehicle: Small,2.0,4,AM7,Z,10.1,7.6,9.0,31,208,5,6
2024,BMW,X2 xDrive28i,Sport utility vehicle: Small,2.0,4,AM7,Z,9.7,7.1,8.5,33,198,6,8
2024,BMW,X2 M35i xDrive,Sport utility vehicle: Small,2.0,4,AM7,Z,10.3,7.3,8.9,32,207,5,6
2024,BMW,X3 xDrive30i,Sport utility vehicle: Small,2.0,4,AS8,Z,11.0,8.4,9.9,29,229,5,7
2024,BMW,X3 M,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
2024,BMW,X3 M Competition,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
2024,BMW,X3 M40i,Sport utility vehicle: Small,3.0,6,AS8,Z,10.9,9.0,10.1,28,235,5,5
2024,BMW,X4 xDrive30i,Sport utility vehicle: Small,2.0,4,AS8,Z,11.0,8.4,9.9,29,229,5,7
2024,BMW,X4 M,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
2024,BMW,X4 M Competition,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
